,phi0,p,q,P[N],delta_H,delta_V,small_delta_v,safety_ratio
79,35.8,0.8902128046111265,1.2059266381983504,0.40915541142554873,0.2618094416503163,1.0215620635667853,1.2312726680198645,2.781874723304278
80,36.0,0.8910065241883679,1.210382594420005,0.412184695146604,0.2647171816051128,1.0268687371709018,1.240388701060751,2.764958812424453
81,36.2,0.8917975296052141,1.2148439856661502,0.4152288669045065,0.2676406500316517,1.0321689699239271,1.249549536717804,2.748219176336268
82,36.4,0.8925858184521255,1.2193109912561038,0.41828809066387207,0.2705798429477513,1.0374627334653077,1.2587556684102579,2.731652858526246
83,36.6,0.8933713883278376,1.2237837906383615,0.4213625323333012,0.2735347564772952,1.0427499995788025,1.2680075954073868,2.7152569665375355
84,36.8,0.8941542368393682,1.2282625634272628,0.42445235979810453,0.2765053868533238,1.048030740194018,1.277305822926985,2.6990286702223676
85,37.0,0.8949343616020251,1.2327474894395343,0.4275577429536847,0.2794917304212059,1.0533049273880024,1.286650862235822,2.682965200051032
86,37.2,0.8957117602394129,1.2372387487306897,0.4306788537395643,0.2824937836418404,1.0585725333867966,1.2960432307520449,2.6670638454753317
87,37.4,0.8964864303834406,1.241736521631366,0.4338158661741122,0.28551154309496685,1.063833530567099,1.305483452149679,2.651321953344349
88,37.6,0.8972583696743284,1.2462409887835957,0.4369689563899752,0.28854500548256956,1.0690878914579913,1.3149720564652532,2.6357369263706145
89,37.8,0.8980275757606156,1.2507523311769342,0.4401383026701576,0.2915941676321805,1.0743355887424824,1.3245095802063733,2.6203062216450212
90,38.0,0.8987940462991669,1.255270730184641,0.44332408548489194,0.29465902650041986,1.079576595259301,1.334096566462679,2.6050273491983242
91,38.2,0.8995577789551804,1.2597963675997987,0.44652648752922236,0.2977395791765005,1.084810884004587,1.3437335650189415,2.5898978706077713
92,38.4,0.9003187714021935,1.2643294256713968,0.4497456937613256,0.30083582288576016,1.090038428133559,1.3534211324703844,2.5749153976472434
93,38.6,0.9010770213220916,1.2688700871405356,0.4529818914416813,0.30394775499340376,1.0952592009623996,1.363159832340559,2.5600775909789943
